build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
592735298,b6182216d5517b9fe4d2b1eba72f51e09e1921c9,,master,passed,334,2019-10-02 19:38:30 UTC,592735299,push
589076268,78d52767af4d75faf6f8118b2848422bc6428fa8,1263,master,passed,335,2019-09-24 17:42:02 UTC,589076269,pull_request
589074614,edc35f8762cec0814f75765179b01facd6e79552,,issue1262-fix,passed,258,2019-09-24 17:38:16 UTC,589074615,push
582405816,e206121bbcbfa6aafd7dfceeaeaa80020d62439d,,v0.75,passed,268,2019-09-08 19:46:21 UTC,582405817,push
582405413,e206121bbcbfa6aafd7dfceeaeaa80020d62439d,,master,passed,335,2019-09-08 19:44:31 UTC,582405414,push
582405359,deceffad00d81ecb5154c2a1159499e699659084,,master,canceled,0,,582405360,push
582392492,d838752342c075691da0118ea010b000980d6602,1029,master,passed,277,2019-09-08 18:46:04 UTC,582392493,pull_request
582384635,c19909cef16c6a7116e39070f2eb0fdf389c0129,,master,passed,333,2019-09-08 18:10:56 UTC,582384636,push
582384553,5b7e40638c7871432b2ec3455940023cd3d51276,,master,canceled,0,,582384554,push
582384081,a3673d1af5eaf5f51eec97fd111da3cca5590eeb,,master,passed,327,2019-09-08 18:08:49 UTC,582384082,push
581647826,8de6a8c57dd542fada4961e9db03fea683c9eed6,1236,master,passed,336,2019-09-06 12:13:48 UTC,581647827,pull_request
581647822,39f4db3cba192f57ae77f41bdf33c11d0888d03d,,extrakeys-haptic-feedback,passed,291,2019-09-06 12:13:29 UTC,581647823,push
581646041,4d83c83fe9a955f007720ccb0c7aab6edffac253,1238,master,passed,347,2019-09-06 12:08:33 UTC,581646042,pull_request
581645536,837b455d13d9d3804eed5836e6c78715df725ade,,issue1224-fix,passed,281,2019-09-06 12:07:39 UTC,581645537,push
580466330,1a20eb803e9502e1ed3805d577b30bdeae484be5,1237,master,passed,329,2019-09-03 22:45:09 UTC,580466331,pull_request
580466046,99a8d5685159019c55fa67fce71f61e571d93796,,url-matcher,passed,255,2019-09-03 22:43:37 UTC,580466047,push
580463170,d49883fb5f1800312d07574eeb75de852f90d245,1236,master,failed,328,2019-09-03 22:34:48 UTC,580463171,pull_request
580462419,bbea86e52b9cbdfc8295534e44cf8656a5f787e7,,extrakeys-haptic-feedback,failed,253,2019-09-03 22:32:42 UTC,580462420,push
576575467,890c600c091bf854967c5e69e541b28c91705a24,1225,master,passed,283,2019-08-25 22:25:05 UTC,576575468,pull_request
576575460,b1dd63214e05b483be32cc8be766c363401308a3,1226,master,passed,276,2019-08-25 22:24:58 UTC,576575461,pull_request
573515974,d5f9cf85c9198ba422197cd73f6e83873d9a6ccd,,v0.74,passed,264,2019-08-18 20:13:36 UTC,573515975,push
573515676,d5f9cf85c9198ba422197cd73f6e83873d9a6ccd,,master,passed,336,2019-08-18 20:12:00 UTC,573515677,push
573491382,549f09573f4631fb46ce1cbe90ca33805585dfab,,master,passed,333,2019-08-18 18:31:03 UTC,573491383,push
573489563,94e5bc86fb12bdea8d00c00262a48b5e49236f40,,master,passed,344,2019-08-18 18:23:56 UTC,573489564,push
572456449,66b96f2443f6d2a16ca003b8a49f34c79a2281ba,1216,master,passed,260,2019-08-15 19:53:22 UTC,572456450,pull_request
571180338,b22319a536f34db06cfc1bcf1339c73c70819208,1212,master,errored,18,2019-08-13 06:44:52 UTC,571180339,pull_request
567601329,370ac2bd8911b5632933975300e779f722ad03af,,v0.73,passed,258,2019-08-04 18:26:03 UTC,567601330,push
567593161,370ac2bd8911b5632933975300e779f722ad03af,,master,passed,359,2019-08-04 17:43:18 UTC,567593162,push
567555055,dd6a21257b88b976238394d8b7ed5c1b9ecfe1d2,,master,passed,322,2019-08-04 14:46:14 UTC,567555056,push
566899578,1b2e2754f76c2805ce358fc183bc19782d4388b3,1196,master,passed,286,2019-08-02 11:12:21 UTC,566899579,pull_request
566561061,d34558d74a6493d56b27dcd230d530d732e7c352,1195,master,passed,256,2019-08-01 16:28:13 UTC,566561062,pull_request
564917130,b43579c73a9d435d7e6c20e4bfd8612df7eec816,1187,master,passed,249,2019-07-29 10:51:52 UTC,564917131,pull_request
564916928,aabbf335db470eeab1689ba32c00298a37741920,1187,master,canceled,0,,564916929,pull_request
558625939,445da0c4eaf1c699b10c5963f95440df6c8abdce,,master,passed,312,2019-07-14 18:38:50 UTC,558625940,push
554426273,92980824b19e233b6bda27419f29387cc3720306,,master,passed,308,2019-07-04 21:28:06 UTC,554426274,push
554426225,7d42b07a321f9409dd25445c974c6c12309ebbd6,,master,canceled,0,,554426226,push
546307194,2290e1571c16c4b538a356c9171a50703694f8b3,1163,master,passed,250,2019-06-16 07:13:24 UTC,546307195,pull_request
544860709,f1cf43da8a61708187eea72789f004fdccbe98e5,1161,master,passed,257,2019-06-12 17:55:14 UTC,544860710,pull_request
543672812,88bdc0b761e8cbea4a052cd08ab13f2697b14237,1160,master,failed,238,2019-06-10 10:46:58 UTC,543672813,pull_request
543448935,e502b9169fdec30200a631cd42dfd3a092e0948e,,master,passed,525,2019-06-09 18:01:43 UTC,543448936,push
543365497,9f2d887ca077878fb5fdebd3bd13db09f8b0430c,,master,passed,297,2019-06-09 11:32:01 UTC,543365498,push
541642686,b3f7a071a75370115242f30f33b694cfc4dcac41,1154,master,errored,33,2019-06-05 09:26:54 UTC,541642687,pull_request
537760924,e6aacc5f08b135f50a88cd453097ecdc83f865c8,,master,passed,298,2019-05-27 12:08:58 UTC,537760925,push
537552071,ff935be54aaca33114c61723105a6b2fd0bb1926,,master,passed,316,2019-05-26 22:08:41 UTC,537552072,push
537551445,4e761623465fc1de20e01d85d6d63556663d8384,,v0.72,passed,257,2019-05-26 22:05:36 UTC,537551446,push
537551231,4e761623465fc1de20e01d85d6d63556663d8384,,master,passed,322,2019-05-26 22:04:41 UTC,537551232,push
537495362,5fa4f2647b72eb4ed1bb468171e5763d11abbcf3,,master,passed,338,2019-05-26 18:05:58 UTC,537495363,push
537485598,61f16f0230815c2a382890a3778be3b7c59f0e61,1145,master,passed,265,2019-05-26 17:26:13 UTC,537485599,pull_request
537485518,fb1f5e5d270ec6e4b3317da2a47a6db177920dcb,,env-bootclasspath,passed,248,2019-05-26 17:25:45 UTC,537485519,push
535461718,81b5889a26b71ae2f471089a0d886b4b1b464976,,v0.71,passed,244,2019-05-21 19:54:29 UTC,535461719,push
535461436,81b5889a26b71ae2f471089a0d886b4b1b464976,,master,passed,294,2019-05-21 19:53:40 UTC,535461437,push
535461234,514f59258a0dd3841a5cdc00480c9055dc12f526,,master,canceled,0,,535461245,push
535425326,88d2c44d837b1a7de7df39593568e8302860a63d,1141,master,passed,318,2019-05-21 18:18:57 UTC,535425327,pull_request
535425323,af59eabe34d69f541192a3b5a1b93f1d736166d4,,fixes,passed,256,2019-05-21 18:19:43 UTC,535425324,push
535339394,0ed16320748612b3facc2c793a1c308dc70c4f61,,fixes,passed,240,2019-05-21 14:54:04 UTC,535339395,push
535330895,58b0c797c8a14699320503348078d792fc717e95,1141,master,passed,317,2019-05-21 14:38:21 UTC,535330896,pull_request
535330846,58c7d81ce2f17c22898896a2245772dd00b591db,,fixes,passed,247,2019-05-21 14:38:17 UTC,535330847,push
535329986,fc4a5805fbc3734cc38e9cc07040bf39b3487fa2,1141,master,passed,313,2019-05-21 14:36:21 UTC,535329987,pull_request
535327983,0ed16320748612b3facc2c793a1c308dc70c4f61,,fixes,passed,258,2019-05-21 14:32:58 UTC,535327984,push
535323991,58c7d81ce2f17c22898896a2245772dd00b591db,,fixes,passed,264,2019-05-21 14:27:22 UTC,535323992,push
534777487,b0f1773a92f195be4049ae2535fee2af69562e50,,v0.70,passed,257,2019-05-20 11:35:19 UTC,534777488,push
534777032,b0f1773a92f195be4049ae2535fee2af69562e50,,master,passed,318,2019-05-20 11:33:33 UTC,534777033,push
534776918,af9f28c0109dc185af4c5dea61e24a18fe45c74a,,master,canceled,0,,534776919,push
534775446,fef0c6686814d7e0a246384e2a82b4fa2f060246,,master,passed,313,2019-05-20 11:29:08 UTC,534775448,push
533916092,30035e126c41d7ca893538eaa4a4bea6b39ec5f3,1135,master,passed,269,2019-05-17 17:33:43 UTC,533916093,pull_request
531257177,7a5da83ce2186ba6896ec3a4ee1592f072969af1,,v0.69,passed,245,2019-05-11 22:29:04 UTC,531257179,push
531255433,7a5da83ce2186ba6896ec3a4ee1592f072969af1,,master,passed,317,2019-05-11 22:19:02 UTC,531255434,push
531255368,97f01387b95db03b38ad6fba19fdab27f0b8e83c,,master,canceled,0,,531255369,push
531254673,012ff83a0613e38eac711a5e7eb96f15143c627d,,master,passed,316,2019-05-11 22:14:48 UTC,531254675,push
531254141,a082c6384936614d472ea76f8439eb2c04cde538,,master,passed,314,2019-05-11 22:11:23 UTC,531254142,push
525678136,bcb95a416cdc098f4310214f4711398b036e11d5,1123,master,passed,100,2019-04-28 18:08:15 UTC,525678137,pull_request
525677848,a0c13d71b7a7d095a2ff702b337ac8bdcab0f60d,,remove-failsafe-activity,passed,285,2019-04-28 18:02:25 UTC,525677849,push
524551847,7c0870c4a2fadccab23091fddc63fd1bc1580d90,1114,master,passed,258,2019-04-25 16:13:50 UTC,524551849,pull_request
522849195,8c2708408687d57d7c9f49c0d630790172901fe7,,v0.68,passed,251,2019-04-21 22:55:48 UTC,522849196,push
522849125,8c2708408687d57d7c9f49c0d630790172901fe7,,master,passed,202,2019-04-21 22:55:27 UTC,522849126,push
522788949,f4fb45cbd63a4aa66caa943e356014fa5ab8e71e,,v0.68,passed,250,2019-04-21 18:22:42 UTC,522788950,push
522788457,f4fb45cbd63a4aa66caa943e356014fa5ab8e71e,,master,passed,196,2019-04-21 18:20:29 UTC,522788458,push
521823871,0605fc48436bc034e6435ad3269a0b79b7334989,,master,passed,194,2019-04-18 17:24:02 UTC,521823872,push
521029342,3bbd61f9d7c4efc3377ad4ec23ae13e43245549a,,master,passed,317,2019-04-17 00:16:46 UTC,521029343,push
520005201,42fc0ea1cde1fda30b42d3b8ac9237a64d3d73ce,,v0.67,passed,261,2019-04-14 19:16:48 UTC,520005202,push
520001149,42fc0ea1cde1fda30b42d3b8ac9237a64d3d73ce,,master,passed,312,2019-04-14 19:10:46 UTC,520001150,push
517366994,6218d0803774de97c32e3b7d5a56066733def823,,master,passed,300,2019-04-08 17:08:18 UTC,517366995,push
516939988,10fe238ddbfdb52b58ab946a025daa5422e16583,,master,passed,312,2019-04-07 18:54:30 UTC,516939989,push
516939364,fe41cd486fcd45555996a0f834a63583a0e698fd,,master,passed,297,2019-04-07 18:52:24 UTC,516939365,push
515411660,bda80547ad087cba9dcf131e298e5ff8ded4f0d9,,master,passed,341,2019-04-03 21:21:16 UTC,515411661,push
515404373,70a786613d6708cc49daaa4ac018641d8344a5ff,,master,passed,318,2019-04-03 21:03:39 UTC,515404374,push
498168764,e6090440cee074bdca3cca4fc87be7f067afed41,1028,master,passed,273,2019-02-25 13:38:57 UTC,498168768,pull_request
497864771,bd45837d9378b04a257bb875391a1d1192310b71,,master,passed,317,2019-02-24 20:02:26 UTC,497864772,push
497864746,ddf5341b8638e26dca923aca1df3520436fd2ae4,,master,canceled,0,,497864747,push
496038529,826a9c1a9fc7e779c1301ebef91811246351a2af,1029,master,passed,242,2019-02-20 15:10:51 UTC,496038530,pull_request
496038046,826a9c1a9fc7e779c1301ebef91811246351a2af,1029,master,passed,239,2019-02-20 15:08:43 UTC,496038047,pull_request
496037803,83fa8eb87ac56027866be3e5b7f4388e33611cf2,1029,master,canceled,0,,496037804,pull_request
495603445,85a48a79a34ccf7d2be7d7f11cd20a4ebada008c,,master,passed,314,2019-02-19 18:23:30 UTC,495603446,push
495598606,f0ced1362eb148fdd226d7ce241750d7d0ffd6c3,1040,master,passed,262,2019-02-19 18:11:09 UTC,495598607,pull_request
492932689,e3512c957db2a1022d308c717b2c26d7a21779be,,master,passed,319,2019-02-13 21:51:27 UTC,492932690,push
492248649,da7b50ad214ef150f620f39fd9d830fb6cbd2ddf,1033,master,passed,301,2019-02-12 16:18:50 UTC,492248650,pull_request
491957310,eb42a2046909ef5affbde7806defae43464dfaa6,1031,master,passed,256,2019-02-12 03:03:19 UTC,491957311,pull_request
491826596,39e4860b9b3bd0c8b212cf3ad2474ce3cac70459,1030,master,passed,319,2019-02-11 20:39:15 UTC,491826597,pull_request
491786850,8d824a01046bdd40737f355bdfb4fba800eb300a,1028,master,passed,285,2019-02-11 19:07:23 UTC,491786851,pull_request
491778699,4da5a413794fe575234e0e1a7ed64d03ab9a6fe7,1029,master,passed,266,2019-02-11 18:47:04 UTC,491778700,pull_request
491765189,b4234a803ad630b27194adbfac94ee78a25ebb96,1028,master,passed,245,2019-02-11 18:16:39 UTC,491765190,pull_request
491387327,69bf04926d0b6e4456af61758cd35ab3f7c1a304,1026,master,passed,254,2019-02-10 22:51:58 UTC,491387328,pull_request
491113653,36fad356ba46383a9318e129fc51676902770827,1022,master,passed,257,2019-02-10 00:24:19 UTC,491113654,pull_request
491086911,330301899ad9ff76c2257e700a09964f512017de,,master,passed,312,2019-02-09 22:46:12 UTC,491086912,push
489279251,2a36b915cbb201bda9b77431ae6d670961cee67a,,master,passed,398,2019-02-05 22:28:24 UTC,489279252,push
489278786,c986a46fb93f44f0eaae0e53b52e6e42011707e4,,master,passed,290,2019-02-05 22:27:03 UTC,489278787,push
488735802,b4e9b605209272da79349f2401454b3af667448e,1014,master,passed,260,2019-02-04 22:13:15 UTC,488735803,pull_request
488262324,ed8bd4b56956e44d341d829e45ae5c50281ffb6b,,master,passed,428,2019-02-03 21:40:01 UTC,488262325,push
488034497,730a9f91825785db8edc0c2770919a1754d732e9,1009,master,passed,270,2019-02-03 03:28:30 UTC,488034498,pull_request
487294038,3a07f6988b845b698458fee95e488293d2a456bf,1009,master,passed,265,2019-02-01 06:33:06 UTC,487294039,pull_request
484722683,bbc136e2e4a5f1e6006f6c287a5fb9d7c98d2972,997,master,passed,257,2019-01-26 12:12:52 UTC,484722684,pull_request
484420093,e7b79e95ad794fe03632223419e5c46bc5266e13,990,master,passed,260,2019-01-25 15:43:39 UTC,484420094,pull_request
484196368,fdabbc69c5781057dcc823498289df4f2f027cc7,955,master,passed,243,2019-01-25 03:32:54 UTC,484196369,pull_request
484188167,2530fd22148b88e78433028e82ce9225dbb9f3d0,955,master,passed,239,2019-01-25 02:57:22 UTC,484188168,pull_request
484159546,4ed5c16e5c1d235208e84fc2b9a06eb247bc77cd,955,master,failed,262,2019-01-25 01:02:11 UTC,484159547,pull_request
484157940,e5e6b8242e1577b0501dc8724bfdb0c52c46cfcc,955,master,failed,185,2019-01-25 00:55:30 UTC,484157941,pull_request
484145541,bc52c0793c262e7cad2fee5b18818ef17ebbbf3a,955,master,failed,263,2019-01-25 00:34:13 UTC,484145542,pull_request
483602458,80b369575f795223df419cdd83ce39ff6c1c133b,990,master,passed,237,2019-01-23 21:01:15 UTC,483602459,pull_request
483560181,04f7fd35e2483a8daaa3ee237b0e79aab53bfb1d,990,master,passed,263,2019-01-23 19:29:40 UTC,483560182,pull_request
483546225,f5b0b325066b7eec2a1baec128befe33febd4d28,990,master,passed,261,2019-01-23 18:55:18 UTC,483546226,pull_request
483545083,018490f3f477cf80553afbdcfa1d00262045d369,990,master,passed,239,2019-01-23 18:52:23 UTC,483545084,pull_request
483423046,04ab88412b3493d2c13e638987ecd0f4c69169fd,990,master,passed,243,2019-01-23 14:22:51 UTC,483423047,pull_request
482193232,7f4df8328cfd4209b1c98d558e6274fd5a67f729,,v0.66,passed,255,2019-01-20 23:54:51 UTC,482193233,push
482192971,7f4df8328cfd4209b1c98d558e6274fd5a67f729,,master,passed,194,2019-01-20 23:53:21 UTC,482192972,push
482189191,ad1ce585d99b9be17fdedf63cd6528eb77401b8b,,v0.66,passed,263,2019-01-20 23:39:39 UTC,482189192,push
482189021,ad1ce585d99b9be17fdedf63cd6528eb77401b8b,,master,passed,194,2019-01-20 23:38:40 UTC,482189022,push
482188234,158908a3bf58f269ceeaf32362d495868820bf42,,master,passed,194,2019-01-20 23:35:10 UTC,482188235,push
482187875,d8f066dec47f63d57d0a669731d9b98efc23b063,,master,passed,178,2019-01-20 23:34:04 UTC,482187876,push
482186199,743225ab6a38687d07d172bdd460b624ec24dd43,,master,passed,194,2019-01-20 23:25:47 UTC,482186200,push
482183756,b38ae24908b2cf5a03f3b096c7a7d24528a320eb,,master,passed,195,2019-01-20 23:13:05 UTC,482183757,push
482180118,70c1bddae01d5cb706a7607629566b0f700799e5,,master,passed,177,2019-01-20 22:59:14 UTC,482180119,push
482178658,4df285013e3e7720933d4be3f01ae9490aa26aca,,master,passed,196,2019-01-20 22:51:47 UTC,482178659,push
482178403,1e4fa8c045a2d8dfd5e8c17346c92de4657fc797,,master,passed,85,2019-01-20 22:50:16 UTC,482178404,push
482178292,31f2dc35bc1d0f6e36000a1fa3b67cd57b476ec6,,master,canceled,0,,482178293,push
482177719,fbb048ce56324141fee35fb41929606067806ddb,,master,passed,195,2019-01-20 22:47:21 UTC,482177720,push
479894253,975b63b13e4268baff6ed4ede0ec667486503715,983,master,passed,217,2019-01-15 13:55:44 UTC,479894254,pull_request
478517473,8c3a30027e9572bd61071f0949b417d66c146b18,,master,passed,162,2019-01-11 20:20:17 UTC,478517474,push
478097320,a8c270f3c1be7d1936ca291866c737f4a7b515dd,,master,passed,273,2019-01-10 23:37:55 UTC,478097321,push
478095899,829414ac190377aaf7037989f0f4710debe1d843,,master,passed,162,2019-01-10 23:33:19 UTC,478095900,push
478083701,8e0b8623bcf1d58482b739e6636bb34e22950d2b,,master,passed,143,2019-01-10 22:59:29 UTC,478083702,push
476601183,8da0f0a1abee4c737076b92776fe205f39df42bf,975,master,passed,221,2019-01-07 23:09:04 UTC,476601184,pull_request
473391120,8fb6a3deb4b4380ed334d4ae7643c16f2b05af1c,965,master,passed,232,2018-12-29 18:57:03 UTC,473391121,pull_request
473343272,2e81a122fc76c042168298cba2f4b3fae2e7504a,965,master,passed,225,2018-12-29 15:24:14 UTC,473343273,pull_request
472139031,afd594c5cad94235a90a6a6a5b8310805644b292,960,master,passed,226,2018-12-25 17:27:46 UTC,472139032,pull_request
470465904,29c227768f620eeffb2e9499fd77fcc44c502129,955,master,passed,217,2018-12-20 11:40:19 UTC,470465905,pull_request
468298150,2ad26f35d00839bd698473c4964a7f8120cc5480,919,master,passed,230,2018-12-15 04:50:42 UTC,468298151,pull_request
458627891,e2bda2bb524e8e0caf52e48463def77a6cdebca7,,master,passed,260,2018-11-23 01:23:44 UTC,458627892,push
458626315,8c7b1a60d2425fd42c712d6157254b9dc184436c,,master,passed,258,2018-11-23 01:13:59 UTC,458626316,push
456472158,cb0710bb83520eb8668461b76b9a24adefe5c91e,,master,passed,270,2018-11-17 22:35:12 UTC,456472159,push
456470597,b54c8276b4e17e070ec20b6c398cbd7f90d8571e,,master,passed,256,2018-11-17 22:27:30 UTC,456470598,push
456469518,7056945f5d62e9b0df7001ef2e382227725cf38f,,master,passed,257,2018-11-17 22:20:37 UTC,456469519,push
456463325,063ef02f2b5b95efc5961d4fbe90e8196f1bbc5e,,master,passed,269,2018-11-17 21:51:29 UTC,456463326,push
455325050,74fdc715cf24d8f40cd2390e54860ff5aff8c1fe,919,master,passed,206,2018-11-15 03:52:39 UTC,455325051,pull_request
454752115,6e6e4fd212a2ecf6644fb7605c6a5e457270d638,,master,passed,273,2018-11-13 23:30:13 UTC,454752116,push
453399581,406438e391ec3c9b848c52fc46b542bdc891d5b4,,master,passed,268,2018-11-10 22:18:00 UTC,453399582,push
453399495,d1977479bdebf8e146baa6a4458133cda133de7e,,master,canceled,0,,453399496,push
452600776,b4563023f67fcef2372a1897a5c3b1c92d793d3c,,master,passed,294,2018-11-08 21:34:14 UTC,452600777,push
452600062,095ed8b54f4c4252a96e9a1570c18b4ec280d298,,master,passed,289,2018-11-08 21:30:06 UTC,452600063,push
446387173,af445f96184656aeae8047443248ac76eb44f66d,,master,passed,268,2018-10-25 21:32:38 UTC,446387174,push
444985927,4bbb16804ffa0d25644872698de43b2ff0e03c4f,886,master,failed,165,2018-10-23 08:07:20 UTC,444985928,pull_request
443002603,e60e6c285354169f0d95b49313e2fc5e1b6c164d,880,master,passed,200,2018-10-18 03:47:12 UTC,443002604,pull_request
438330713,82f977fbf136f3414ecc6155ba519b3ad07996e2,,master,passed,321,2018-10-07 18:10:04 UTC,438330714,push
436320516,4b52cfbb933444eb8fe671c4b525c1855b4df91f,,master,passed,330,2018-10-02 19:55:28 UTC,436320517,push
434838335,b61da23be761a874ccd610835946f0b9b352b22f,,master,passed,326,2018-09-28 22:50:13 UTC,434838336,push
434832665,35df3f72c9f6b6aebfe57f2780157fc279868f9a,,master,passed,405,2018-09-28 22:34:03 UTC,434832666,push
434830795,d584502fef2f6b1fa5c21363811e4383b0f6c0b6,,master,errored,91,2018-09-28 22:28:32 UTC,434830796,push
434830164,a691333c5ea982a3f554f7e21a6143df45bb4e70,,master,passed,322,2018-09-28 22:26:50 UTC,434830165,push
434829226,e053cf82ca231f9c06d020d26c1a6295dfdf9934,,master,passed,311,2018-09-28 22:23:52 UTC,434829227,push
434827959,08c72f9a655993e01d95b28d8e39166b7f65d606,,master,passed,319,2018-09-28 22:19:19 UTC,434827960,push
432155204,7593ddde38c5b95700eacbea8981373bba9596ac,,master,passed,311,2018-09-23 14:58:54 UTC,432155205,push
430670757,83c19bcd75d79717db4650f0c59e59468520d1a8,845,master,passed,613,2018-09-19 18:07:03 UTC,430670758,pull_request
429023372,b7af673222dfaf2b67957c598ef0f8d4f5c0f4fd,494,master,failed,248,2018-09-15 16:38:31 UTC,429023373,pull_request
422514173,6dce32aecec0881e73cd99ed64680669e149806e,,master,passed,337,2018-08-30 11:52:30 UTC,422514174,push
422029229,5ff801c914f041e905be4398bda0b2194ac4d411,,master,passed,314,2018-08-29 11:55:03 UTC,422029230,push
421856156,0419c739e00922f24ce45f0b789983ce544df7ba,822,master,passed,256,2018-08-29 01:54:31 UTC,421856157,pull_request
421855039,1a67de4cd6b9773044ca32216917a27308d5a54e,822,master,errored,68,2018-08-29 01:49:49 UTC,421855040,pull_request
421850036,a82d394c088106b8032f3193cc81ab6745a45cc3,822,master,failed,259,2018-08-29 01:28:05 UTC,421850037,pull_request
421845674,438cf616bc4222d43bde763156b0d0a3145ba3b1,821,master,failed,267,2018-08-29 01:08:27 UTC,421845675,pull_request
421355161,07d6c9bd5ec1360911b44b47e05cc40f3d2890a8,,master,failed,343,2018-08-28 00:52:11 UTC,421355162,push
421355083,a9eddce672b6c98bc4ea9a97da5a3fcbe295577a,,master,canceled,0,,421355084,push
421352314,26c95f1397e308b3c54cf1aae85d50102656d037,,master,passed,373,2018-08-28 00:40:36 UTC,421352315,push
421351650,beb8a004e6ea64e2b3795fc9320da8c8b2e0a871,,master,passed,387,2018-08-28 00:37:57 UTC,421351651,push
421350955,3693e3c1b6da04398cbd73a28b44a764abc9bc3e,,master,passed,452,2018-08-28 00:35:33 UTC,421350956,push
420622036,57a3a9b111f7f27a725557413aabf415e55286bd,,master,passed,373,2018-08-25 23:09:16 UTC,420622037,push
