build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
650143549,732641b9cba0545ff5fc15dc362171edfc29407e,281,master,passed,834,2020-02-14 08:17:26 UTC,650143550,650143551,650143552,650143553,pull_request
646698918,95f77ce895cb9974476627f1e0712dcada46921f,,master,passed,849,2020-02-06 03:19:11 UTC,646698919,646698920,646698921,646698922,push
646267953,13b28cf1f3d3e97dacc9e9fad86c20cb93316cff,,master,passed,872,2020-02-05 05:41:15 UTC,646267954,646267955,646267956,646267957,push
645729002,1a36506ab3a1085b91bc694e1825fb0a1b1f66b2,277,master,passed,893,2020-02-04 00:21:48 UTC,645729003,645729004,645729005,645729006,pull_request
643155788,e94285108d65155a3476c6e0a1f20f7d056ea76a,,master,passed,1068,2020-01-28 23:41:02 UTC,643155789,643155790,643155791,643155792,643155793,push
642177369,4a86d005c827057d2d536acc228ccbcc655dc51c,,v0.9.2,passed,1084,2020-01-27 00:54:34 UTC,642177370,642177371,642177372,642177373,642177374,push
642177352,4a86d005c827057d2d536acc228ccbcc655dc51c,,master,passed,1064,2020-01-27 00:50:53 UTC,642177353,642177354,642177355,642177356,642177357,push
641659710,cbc74f40a423c3a827d8ca198e9ac70c89da718d,,master,passed,1063,2020-01-25 07:21:29 UTC,641659711,641659712,641659713,641659714,641659715,push
641300627,cd2185d71b1ff4b3a0cd3c1d04aed3ae8fe19ff8,,master,passed,1051,2020-01-24 10:56:21 UTC,641300628,641300629,641300630,641300631,641300632,push
641213313,8c80c42fb25d6061c25efb50d627acd3b92dab3c,,master,passed,1047,2020-01-24 04:55:00 UTC,641213314,641213315,641213316,641213317,641213318,push
641212935,d3d1e0061eff3f3067ddd338e5a156cb4b1c5eef,,master,passed,1075,2020-01-24 04:51:16 UTC,641212936,641212937,641212938,641212939,641212940,push
640773960,11e5a7a7ab7fde6c3b90d306cdcde0fa88f28743,,master,passed,1041,2020-01-23 06:18:30 UTC,640773961,640773962,640773963,640773964,640773965,push
640295328,15473eb85bebc7a6b856d0afccf1259eb2ca35f3,,master,passed,1041,2020-01-22 05:27:51 UTC,640295329,640295330,640295331,640295332,640295333,push
639797957,dfa4df743e315848068e6fc95977e652a4cb1e38,,master,passed,1102,2020-01-21 06:10:34 UTC,639797958,639797959,639797960,639797961,639797962,push
639433740,793765e21b0ac4ad78a26a8dc62bbab267490cb5,,master,passed,1060,2020-01-20 11:03:42 UTC,639433741,639433742,639433743,639433744,639433745,push
638287387,24d1f281c419b332623abb15085f2885def5d55d,,master,passed,1054,2020-01-17 05:39:11 UTC,638287388,638287389,638287390,638287391,638287392,push
634076137,61f5f5246f6ac258527f711ba867ebdbc69f9b12,,master,passed,1032,2020-01-08 04:46:53 UTC,634076138,634076139,634076140,634076141,634076142,push
633089786,027f985542b2d746142370b66dca4d5b8ae5f935,,master,passed,1077,2020-01-06 00:30:23 UTC,633089787,633089788,633089789,633089790,633089791,push
632878173,6b5da2a3cab07730db4eb50d1352f84cbe6990c0,273,master,passed,1038,2020-01-05 08:24:59 UTC,632878174,632878175,632878176,632878177,632878178,pull_request
627568356,de396989da89e36a99ade21cfac1deb6d1fd8ebf,,master,passed,1058,2019-12-20 05:18:25 UTC,627568357,627568358,627568359,627568360,627568361,push
622910152,9b6312be9c3ce896e2e1b7f68b8044890dfeaf80,,master,passed,1301,2019-12-09 22:15:00 UTC,622910153,622910154,622910155,622910156,622910157,push
621449600,0b2d178e570297099f1184524cc6ce9aae183656,,master,passed,1312,2019-12-06 05:17:33 UTC,621449601,621449602,621449603,621449604,621449605,push
621448676,ea727a3758db442dd5201911f07040863d62e1d4,,master,passed,1252,2019-12-06 05:12:43 UTC,621448677,621448678,621448679,621448681,621448682,push
621445622,eacdb7213f914f74656f698414de044ff9eb04fa,,master,passed,1200,2019-12-06 04:57:59 UTC,621445623,621445624,621445625,621445626,621445627,push
621443463,ab8fcd7d59bf4a30a0f752f3995e885724b3c506,,master,passed,1299,2019-12-06 04:45:28 UTC,621443464,621443465,621443466,621443467,621443468,push
621410308,e3aa8ab29340265b9538ab39c83024f72ff64aed,265,master,passed,1309,2019-12-06 02:07:18 UTC,621410309,621410310,621410311,621410312,621410313,pull_request
621405293,8a0f6057a87abce9136a2a0d6a4f74612ef6d634,265,master,passed,1352,2019-12-06 01:46:47 UTC,621405294,621405295,621405296,621405297,621405298,pull_request
620369374,e277b8c3025985aa6988a154bc8356267f22c294,263,master,passed,1359,2019-12-03 23:00:19 UTC,620369375,620369376,620369377,620369378,620369379,pull_request
620059979,5976a2955ae4b6cf55aee1a6cbe3feda3aa87ec1,262,master,passed,1346,2019-12-03 10:49:23 UTC,620059982,620059984,620059986,620059989,620059993,pull_request
619810385,6f9e288e172ec060c136a968173b2d7dd0825c63,261,master,passed,1294,2019-12-02 20:41:08 UTC,619810386,619810387,619810388,619810389,619810390,pull_request
618391250,21bf79cdbd01cc209c69374fdcbc833b81feea47,,master,passed,1375,2019-11-28 23:13:06 UTC,618391251,618391252,618391253,618391254,618391255,push
618140610,e6143cad5f7aedfcff8c33e1c2f8c4fdd079fe1c,,master,passed,1353,2019-11-28 11:01:43 UTC,618140611,618140612,618140613,618140614,618140615,push
618128652,a743520eb74bc7ec593ffe9fa9b762c2a69a50a3,,master,passed,1346,2019-11-28 10:31:36 UTC,618128653,618128654,618128655,618128656,618128657,push
618127190,8cbefaba3e91a3a923e90d23ea8d4fa86dfe6e9e,,master,passed,1349,2019-11-28 10:27:00 UTC,618127191,618127192,618127193,618127194,618127195,push
615792243,5b1a4af57634b85b29bc636023f30ce52f2aa4ea,257,master,passed,1310,2019-11-22 22:46:55 UTC,615792244,615792245,615792246,615792247,615792248,pull_request
615379239,5868d20a42e64bfd75bd5b135568f49cb2ea50cd,,v0.9.1,passed,1317,2019-11-22 04:12:27 UTC,615379240,615379241,615379242,615379243,615379244,push
615379126,5868d20a42e64bfd75bd5b135568f49cb2ea50cd,,master,passed,1376,2019-11-22 04:07:42 UTC,615379127,615379128,615379130,615379131,615379133,push
615330964,6e6cddf1710c38947bdc715e67db7774674b97bf,,master,passed,1345,2019-11-22 00:35:21 UTC,615330965,615330966,615330967,615330968,615330969,push
609078733,8574ad469b2a137259d2b5be5bfeecf95c66bc89,,v0.9.0,passed,1365,2019-11-08 05:13:59 UTC,609078734,609078735,609078736,609078737,609078738,push
609055259,8574ad469b2a137259d2b5be5bfeecf95c66bc89,,master,passed,1404,2019-11-08 03:07:25 UTC,609055260,609055261,609055262,609055263,609055264,push
609052817,a6f1fa3624071a1dfedd1ccf27a536ba90a17520,,master,passed,1328,2019-11-08 02:56:19 UTC,609052818,609052819,609052820,609052821,609052822,push
605793420,e17ecb651f6719924df4ebdf25c7610dd5ef5e63,,master,passed,1381,2019-11-01 00:28:14 UTC,605793421,605793422,605793423,605793424,605793425,push
605352214,e1c1e0f128396b19451bbe378528017bfd723c12,,master,passed,1395,2019-10-31 06:15:45 UTC,605352215,605352216,605352217,605352218,605352219,push
605330407,daf08ac39f699bad68bdbf2b70c9b454fe39e5de,,master,passed,1378,2019-10-31 04:37:08 UTC,605330408,605330409,605330410,605330411,605330412,push
605328749,bf840118f3efb9b809adff20ac72cbc1e88a1040,,master,passed,1330,2019-10-31 04:29:36 UTC,605328750,605328751,605328752,605328753,605328754,push
605266325,ec90a0d6743637b8b2f013e8fa68fe16e548217a,254,master,passed,1412,2019-10-30 23:56:52 UTC,605266326,605266327,605266328,605266329,605266330,pull_request
604813361,17980532de1340a7dd16aab7e9b8af555c41f440,,master,passed,1329,2019-10-30 05:57:15 UTC,604813362,604813363,604813364,604813365,604813366,push
604805193,c664f24b615c799cc8cc6489cc1b5da6c0c216d0,,master,passed,1413,2019-10-30 05:19:38 UTC,604805194,604805195,604805196,604805197,604805198,push
604678058,9b1858df74c9c90fc2777628c01fa6e27f01a4ad,253,master,passed,1346,2019-10-29 21:35:01 UTC,604678064,604678066,604678070,604678071,604678072,pull_request
604416621,f8e75b32f07dbe3efae25042241efd02ef147ce0,251,master,passed,1350,2019-10-29 12:30:15 UTC,604416622,604416623,604416624,604416625,604416626,pull_request
604415932,df0b37b5ddccb0c669c4a8cac3bc03bef0018e2a,251,master,passed,1485,2019-10-29 12:25:30 UTC,604415933,604415934,604415935,604415936,604415937,pull_request
604388058,5b2f0b89cb440fd0ccbd056ce82d9ffaa881395f,,master,passed,1345,2019-10-29 11:06:54 UTC,604388059,604388060,604388061,604388062,604388063,push
604385686,00c0e01f6b30939fd0b72262cb6da8974ba9d2ea,,master,passed,1363,2019-10-29 11:01:40 UTC,604385688,604385690,604385691,604385692,604385693,push
604382437,7847c1717927a43c394ef58d0b2948b02b89a64e,,master,passed,1394,2019-10-29 10:53:58 UTC,604382438,604382439,604382440,604382441,604382442,push
604375073,49988aa647c7b915c909a3dd24938479d357ccdf,,master,passed,1388,2019-10-29 10:34:13 UTC,604375074,604375075,604375076,604375077,604375079,push
604285312,0ede1944e1050e7c10f6ae394085b61911813879,,master,passed,1393,2019-10-29 05:58:44 UTC,604285313,604285314,604285315,604285316,604285317,push
604284417,feb30e5e09936cb44fd87b1d80cae47eb9ea557b,,master,canceled,1105,2019-10-29 05:57:51 UTC,604284418,604284419,604284420,604284421,604284422,push
604039267,08e9ef5b28b09a8baeec57e10d0e15225a8f2d8f,252,master,failed,1406,2019-10-28 17:54:50 UTC,604039268,604039269,604039270,604039271,604039272,pull_request
604018445,988432adafa9a00f32659006b38b27e923bcd1c6,251,master,failed,1370,2019-10-28 17:13:50 UTC,604018446,604018447,604018448,604018449,604018450,pull_request
603606948,8abca243fed5ee93c2bf33ed76e79343d0eb2f14,250,master,failed,1383,2019-10-27 19:48:29 UTC,603606949,603606950,603606951,603606952,603606953,pull_request
588338178,d61193f2b742bd98844958cc0204196fc06a2ffd,,master,passed,1442,2019-09-23 07:55:14 UTC,588338179,588338180,588338181,588338182,588338183,push
587758022,30d166257f0176c3b78a97500db52f4c1d488032,,master,passed,1357,2019-09-21 05:27:34 UTC,587758023,587758024,587758025,587758026,587758027,push
587461595,63f81044cedba68485b50a9944fec0d7abe58c29,,master,passed,1323,2019-09-20 12:31:21 UTC,587461596,587461597,587461598,587461599,587461600,push
587455282,b92b33a2e483c23457617aecda186cd3bfd6fe87,,master,passed,1321,2019-09-20 12:19:56 UTC,587455283,587455284,587455285,587455286,587455287,push
587450505,cb673bbd3f5dddf6c2f4cdbeb3ec5bdfe5159140,,master,passed,1334,2019-09-20 12:06:58 UTC,587450506,587450507,587450508,587450509,587450510,push
587429426,397b3d2258a46aabaa68a1632fadbb7791723d2c,195,master,passed,1335,2019-09-20 11:10:37 UTC,587429427,587429428,587429429,587429430,587429431,pull_request
587429418,5d00c927e8262c36479564c550ef32524d3a27c2,,bootstrap4,passed,1379,2019-09-20 11:05:28 UTC,587429419,587429420,587429421,587429422,587429423,push
587421611,27ff13176ef628f029a353dee71f142bb01f318a,195,master,passed,1358,2019-09-20 10:47:58 UTC,587421612,587421613,587421614,587421615,587421616,pull_request
587421581,8dd674f2fc3370a23f621f5de439530842e7939c,,bootstrap4,passed,1363,2019-09-20 10:43:09 UTC,587421582,587421583,587421584,587421585,587421586,push
