tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
572698218,572698219,100,3bcca038e2c705cb619333edcb5c0e6cf092e158,go,unknown,1,go,"",false,,,,,,,,,"",,
572698218,572698220,100,3bcca038e2c705cb619333edcb5c0e6cf092e158,go,unknown,1,go,"",false,,,,,,,,,"",,
572698865,572698866,101,5ee9f16771407267ef0ebfc3ab6a39e43e80eb7b,go,ok,3,go,"",false,,,,,,,,,"",,
572698865,572698867,101,5ee9f16771407267ef0ebfc3ab6a39e43e80eb7b,go,unknown,1,go,"",false,,,,,,,,,"",,
572774172,572774173,102,ef0faa33bf7af1500b7cf01126613b42d00ada5c,go,unknown,1,go,"",false,,,,,,,,,"",,
572774172,572774174,102,ef0faa33bf7af1500b7cf01126613b42d00ada5c,go,unknown,2,go,"",false,,,,,,,,,"",,
572775690,572775691,103,dceb98ba1410e7454f875ea19a066d015bafbbfc,go,unknown,1,go,"",false,,,,,,,,,"",,
572775690,572775692,103,dceb98ba1410e7454f875ea19a066d015bafbbfc,go,unknown,2,go,"",false,,,,,,,,,"",,
572781932,572781934,104,2e8b8fe91301fe66a76105331b7e5f6eb81a9daf,go,unknown,1,go,"",false,,,,,,,,,"",,
572781932,572781936,104,2e8b8fe91301fe66a76105331b7e5f6eb81a9daf,go,unknown,2,go,"",false,,,,,,,,,"",,
572799219,572799220,105,78958af7f5710924ef6b971598b3ca04309120e2,go,unknown,1,go,"",false,,,,,,,,,"",,
572799219,572799221,105,78958af7f5710924ef6b971598b3ca04309120e2,go,unknown,1,go,"",false,,,,,,,,,"",,
572860684,572860685,106,ef8b950902c59239c2cdf2d57cfc69fd9fc0d569,go,unknown,1,go,"",false,,,,,,,,,"",,
572860684,572860686,106,ef8b950902c59239c2cdf2d57cfc69fd9fc0d569,go,unknown,1,go,"",false,,,,,,,,,"",,
572864902,572864903,107,1d928dfb5e23f82637afa1cdfd78b949fdd07f20,go,unknown,1,go,"",false,,,,,,,,,"",,
572864902,572864904,107,1d928dfb5e23f82637afa1cdfd78b949fdd07f20,go,unknown,1,go,"",false,,,,,,,,,"",,
572868079,572868080,108,7e5b51d067693cf795d2e0bd20b64212206704ba,go,unknown,1,go,"",false,,,,,,,,,"",,
572868079,572868083,108,7e5b51d067693cf795d2e0bd20b64212206704ba,go,unknown,2,go,"",false,,,,,,,,,"",,
572888309,572888311,109,53183f69d5cf09d19452855aac439c77b611c411,go,unknown,1,go,"",false,,,,,,,,,"",,
572888309,572888313,109,53183f69d5cf09d19452855aac439c77b611c411,go,unknown,1,go,"",false,,,,,,,,,"",,
239659389,239659390,10,d3a62a0563efc4ae7a2f025ef1f4990d448166b9,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
603466288,603466289,110,53183f69d5cf09d19452855aac439c77b611c411,go,unknown,1,go,"",false,,,,,,,,,"",,
603466288,603466290,110,53183f69d5cf09d19452855aac439c77b611c411,go,unknown,1,go,"",false,,,,,,,,,"",,
603466937,603466938,111,6ff7cd688986564177d0f8c589e4b268988cc045,go,unknown,1,go,"",false,,,,,,,,,"",,
603466937,603466939,111,6ff7cd688986564177d0f8c589e4b268988cc045,go,unknown,1,go,"",false,,,,,,,,,"",,
603471460,603471461,112,b30cec8141a91ba2b1044ccfcad6df28f59d8e8f,go,unknown,2,go,"",false,,,,,,,,,"",,
603471460,603471462,112,b30cec8141a91ba2b1044ccfcad6df28f59d8e8f,go,unknown,2,go,"",false,,,,,,,,,"",,
603471623,603471624,113,b30cec8141a91ba2b1044ccfcad6df28f59d8e8f,go,unknown,2,go,"",false,,,,,,,,,"",,
603471623,603471625,113,b30cec8141a91ba2b1044ccfcad6df28f59d8e8f,go,unknown,2,go,"",false,,,,,,,,,"",,
624829620,624829621,114,31c3cd2c8a03c1d997da38db558b29b5af778c08,go,unknown,3,go,"",false,,,,,,,,,"",,
624829620,624829622,114,31c3cd2c8a03c1d997da38db558b29b5af778c08,go,unknown,2,go,"",false,,,,,,,,,"",,
624829703,624829705,115,31c3cd2c8a03c1d997da38db558b29b5af778c08,go,unknown,2,go,"",false,,,,,,,,,"",,
624829703,624829707,115,31c3cd2c8a03c1d997da38db558b29b5af778c08,go,unknown,2,go,"",false,,,,,,,,,"",,
624829868,624829869,116,31c3cd2c8a03c1d997da38db558b29b5af778c08,go,unknown,2,go,"",false,,,,,,,,,"",,
624829868,624829870,116,31c3cd2c8a03c1d997da38db558b29b5af778c08,go,unknown,2,go,"",false,,,,,,,,,"",,
628380851,628380852,117,2a3d6ab68ca796db3d9ba3a7313fd7141a96167e,go,unknown,2,go,"",false,,,,,,,,,"",,
628380851,628380853,117,2a3d6ab68ca796db3d9ba3a7313fd7141a96167e,go,unknown,2,go,"",false,,,,,,,,,"",,
683525557,683525558,118,819892ef7ff8c71ad0e07d4abc81bffde761d1bf,go,unknown,2,go,"",false,,,,,,,,,"",,
683525557,683525559,118,819892ef7ff8c71ad0e07d4abc81bffde761d1bf,go,unknown,3,go,"",false,,,,,,,,,"",,
683527220,683527221,119,51ee20ce9ff8b2dd0975314402c1360b0e390fae,go,unknown,2,go,"",false,,,,,,,,,"",,
683527220,683527222,119,51ee20ce9ff8b2dd0975314402c1360b0e390fae,go,unknown,3,go,"",false,,,,,,,,,"",,
240507562,240507563,11,361b98132f807166c147d85c7fe70479b500d676,ruby,broken,1,ruby,"",false,,,0,,,,,,"",,
683648350,683648351,120,1ebcbbd15dcf45c5418621502981dc9794c731b4,go,unknown,2,go,"",false,,,,,,,,,"",,
683648350,683648352,120,1ebcbbd15dcf45c5418621502981dc9794c731b4,go,unknown,2,go,"",false,,,,,,,,,"",,
684120345,684120346,121,c104e9a8dff616938bc338070ae0752046778dbb,go,unknown,2,go,"",false,,,,,,,,,"",,
684120345,684120347,121,c104e9a8dff616938bc338070ae0752046778dbb,unknown,unknown,,plain,"",false,,,,,,,,,"",,
717277679,717277680,122,9d0e229698a7de42e47892c16db4cee5ad8ac6aa,go,unknown,1,go,"",false,,,,,,,,,"",,
717277679,717277681,122,9d0e229698a7de42e47892c16db4cee5ad8ac6aa,go,unknown,2,go,"",false,,,,,,,,,"",,
720013916,720013917,123,d023b48fcab21aeb32cd2fc12fa37302a884d5c1,go,unknown,2,go,"",false,,,,,,,,,"",,
720013916,720013918,123,d023b48fcab21aeb32cd2fc12fa37302a884d5c1,go,unknown,2,go,"",false,,,,,,,,,"",,
724400555,724400556,124,190c326c3731fcc62f34d58c113cbbae34bfeab3,go,unknown,1,go,"",false,,,,,,,,,"",,
724400555,724400557,124,190c326c3731fcc62f34d58c113cbbae34bfeab3,go,unknown,2,go,"",false,,,,,,,,,"",,
724401800,724401801,125,488aca67a559d907213dca1a0afce75cc74d4659,go,unknown,1,go,"",false,,,,,,,,,"",,
724401800,724401802,125,488aca67a559d907213dca1a0afce75cc74d4659,go,unknown,2,go,"",false,,,,,,,,,"",,
726813466,726813475,126,c1e37d5be0b5d1d39692a6e389048bdb63505d3a,go,unknown,1,go,"",false,,,,,,,,,"",,
726813466,726813476,126,c1e37d5be0b5d1d39692a6e389048bdb63505d3a,go,unknown,1,go,"",false,,,,,,,,,"",,
753777431,753777432,127,bed08914b98a260957cda9e1d989a4c9c237132b,go,unknown,1,go,"",false,,,,,,,,,"",,
753777431,753777433,127,bed08914b98a260957cda9e1d989a4c9c237132b,go,unknown,1,go,"",false,,,,,,,,,"",,
753777717,753777718,128,bf6bf8d6c9226c0343e23791689fb635976601eb,go,unknown,2,go,"",false,,,,,,,,,"",,
753777717,753777719,128,bf6bf8d6c9226c0343e23791689fb635976601eb,go,unknown,2,go,"",false,,,,,,,,,"",,
753778294,753778295,129,bb0769616aebf596080a0bbe2fe457ec33310402,go,unknown,2,go,"",false,,,,,,,,,"",,
753778294,753778296,129,bb0769616aebf596080a0bbe2fe457ec33310402,go,unknown,1,go,"",false,,,,,,,,,"",,
241406682,241406683,12,6d6509b82b80bf2ee8a2e775e6cdcdb310b963af,go,unknown,1,go,"",false,,,,,,,,,"",,
241406682,241406684,12,6d6509b82b80bf2ee8a2e775e6cdcdb310b963af,go,unknown,1,go,"",false,,,,,,,,,"",,
241406682,241406685,12,6d6509b82b80bf2ee8a2e775e6cdcdb310b963af,go,unknown,1,go,"",false,,,,,,,,,"",,
241406682,241406686,12,6d6509b82b80bf2ee8a2e775e6cdcdb310b963af,go,unknown,1,go,"",false,,,,,,,,,"",,
241407284,241407285,13,b9cacdd6573d749e50bc1fc7ddb9820700c769a8,go,broken,0,go,gotest,true,true,0,1,1,0,0,0,0,github.com/iris-contrib/examples/httptest,0,
241407284,241407286,13,b9cacdd6573d749e50bc1fc7ddb9820700c769a8,go,broken,1,go,gotest,true,true,0,1,1,0,0,0,0,github.com/iris-contrib/examples/httptest,0,
241407284,241407287,13,b9cacdd6573d749e50bc1fc7ddb9820700c769a8,go,unknown,1,go,gotest,true,true,0,1,1,0,0,0,0,github.com/iris-contrib/examples/httptest,0,
241407284,241407288,13,b9cacdd6573d749e50bc1fc7ddb9820700c769a8,go,unknown,1,go,gotest,true,true,0,1,1,0,0,0,0,github.com/iris-contrib/examples/httptest,0,
241408092,241408093,14,d93e3fa47ee318bdf4dfcc7860762fde88b4daf6,go,broken,0,go,gotest,true,true,0,1,1,0,0,0,0,github.com/iris-contrib/examples/httptest,0,
241408092,241408094,14,d93e3fa47ee318bdf4dfcc7860762fde88b4daf6,go,broken,0,go,gotest,true,true,0,1,1,0,0,0,0,github.com/iris-contrib/examples/httptest,0,
241408092,241408095,14,d93e3fa47ee318bdf4dfcc7860762fde88b4daf6,go,unknown,1,go,gotest,true,true,0,1,1,0,0,0,0,github.com/iris-contrib/examples/httptest,0,
241408092,241408096,14,d93e3fa47ee318bdf4dfcc7860762fde88b4daf6,go,unknown,1,go,gotest,true,true,0,1,1,0,0,0,0,github.com/iris-contrib/examples/httptest,0,
241412746,241412747,15,19127cde56a9eb69bf0a246bd3bf2419b10d76bf,go,ok,0,go,gotest,true,false,1,0,1,0,1,1,0,"",0.0,
241412746,241412748,15,19127cde56a9eb69bf0a246bd3bf2419b10d76bf,go,ok,0,go,gotest,true,false,1,0,1,0,1,1,0,"",0.0,
241412746,241412749,15,19127cde56a9eb69bf0a246bd3bf2419b10d76bf,go,unknown,1,go,gotest,true,false,1,0,1,0,1,1,0,"",0.0,
241412746,241412750,15,19127cde56a9eb69bf0a246bd3bf2419b10d76bf,go,unknown,1,go,gotest,true,false,1,0,1,0,1,1,0,"",0.0,
241502549,241502550,16,039827240ea8988add0cdfd86619220c9dc2ce68,go,unknown,1,go,"",false,,,,,,,,,"",,
241502549,241502551,16,039827240ea8988add0cdfd86619220c9dc2ce68,go,unknown,1,go,"",false,,,,,,,,,"",,
241502549,241502552,16,039827240ea8988add0cdfd86619220c9dc2ce68,go,unknown,1,go,"",false,,,,,,,,,"",,
241502549,241502553,16,039827240ea8988add0cdfd86619220c9dc2ce68,go,unknown,1,go,"",false,,,,,,,,,"",,
241805763,241805764,17,5a4f4fae71a019fa28e938c1598ad8832441ad35,go,unknown,1,go,"",false,,,,,,,,,"",,
241805763,241805765,17,5a4f4fae71a019fa28e938c1598ad8832441ad35,go,unknown,1,go,"",false,,,,,,,,,"",,
241805763,241805766,17,5a4f4fae71a019fa28e938c1598ad8832441ad35,go,unknown,1,go,"",false,,,,,,,,,"",,
241805763,241805767,17,5a4f4fae71a019fa28e938c1598ad8832441ad35,go,unknown,1,go,"",false,,,,,,,,,"",,
242320346,242320347,18,ba9b0d35c32b5ff3571f8f110280ca7fcc6b036f,go,unknown,1,go,"",false,,,,,,,,,"",,
242320346,242320348,18,ba9b0d35c32b5ff3571f8f110280ca7fcc6b036f,go,unknown,1,go,"",false,,,,,,,,,"",,
242320346,242320349,18,ba9b0d35c32b5ff3571f8f110280ca7fcc6b036f,go,unknown,1,go,"",false,,,,,,,,,"",,
242320346,242320350,18,ba9b0d35c32b5ff3571f8f110280ca7fcc6b036f,go,unknown,2,go,"",false,,,,,,,,,"",,
242321247,242321250,19,4d38e739e708a35d5981849fe4374aa11e4ab5c3,go,unknown,1,go,"",false,,,,,,,,,"",,
242321247,242321251,19,4d38e739e708a35d5981849fe4374aa11e4ab5c3,go,unknown,1,go,"",false,,,,,,,,,"",,
242321247,242321253,19,4d38e739e708a35d5981849fe4374aa11e4ab5c3,go,unknown,1,go,"",false,,,,,,,,,"",,
242321247,242321254,19,4d38e739e708a35d5981849fe4374aa11e4ab5c3,go,unknown,2,go,"",false,,,,,,,,,"",,
207809636,207809637,1,58d11f01964e9b7d57a0dd4c7e06f1f79e20bbd5,ruby,broken,1,ruby,"",false,,,0,,,,,,"",,
243358978,243358980,20,fb6fcdf82b3a518d4a233a4ad2d8a8c72a5fd4ca,go,broken,1,go,gotest,true,true,4,4,8,0,4,2,2,TestEmbeddingFilesIntoApp#github.com/iris-contrib/examples/file-server/embedding-files-into-app#TestSPAEmbedded#github.com/iris-contrib/examples/file-server/embedding-single-page-application,0.55,
243358978,243358981,20,fb6fcdf82b3a518d4a233a4ad2d8a8c72a5fd4ca,go,broken,1,go,gotest,true,true,4,4,8,0,4,2,2,TestEmbeddingFilesIntoApp#github.com/iris-contrib/examples/file-server/embedding-files-into-app#TestSPAEmbedded#github.com/iris-contrib/examples/file-server/embedding-single-page-application,0.26,
243358978,243358982,20,fb6fcdf82b3a518d4a233a4ad2d8a8c72a5fd4ca,go,unknown,2,go,gotest,true,true,4,4,8,0,4,2,2,TestEmbeddingFilesIntoApp#github.com/iris-contrib/examples/file-server/embedding-files-into-app#TestSPAEmbedded#github.com/iris-contrib/examples/file-server/embedding-single-page-application,0.38,
243358978,243358984,20,fb6fcdf82b3a518d4a233a4ad2d8a8c72a5fd4ca,go,unknown,3,go,gotest,true,true,4,4,8,0,4,2,2,TestEmbeddingFilesIntoApp#github.com/iris-contrib/examples/file-server/embedding-files-into-app#TestSPAEmbedded#github.com/iris-contrib/examples/file-server/embedding-single-page-application,0.29000000000000004,
243361516,243361517,21,c4ecb5e84fa9021e70f0149ac85a4541fcbfe4ef,go,ok,1,go,"",false,,,,,,,,,"",,
243361516,243361518,21,c4ecb5e84fa9021e70f0149ac85a4541fcbfe4ef,go,unknown,1,go,"",false,,,,,,,,,"",,
243361516,243361519,21,c4ecb5e84fa9021e70f0149ac85a4541fcbfe4ef,unknown,unknown,,plain,"",false,,,,,,,,,"",,
243361516,243361520,21,c4ecb5e84fa9021e70f0149ac85a4541fcbfe4ef,unknown,unknown,,plain,"",false,,,,,,,,,"",,
249518380,249518381,22,217e18944a03db89f013f11de7456708ff887160,go,ok,0,go,"",false,,,,,,,,,"",,
249518380,249518382,22,217e18944a03db89f013f11de7456708ff887160,go,ok,0,go,"",false,,,,,,,,,"",,
249518380,249518383,22,217e18944a03db89f013f11de7456708ff887160,go,unknown,0,go,"",false,,,,,,,,,"",,
249518380,249518384,22,217e18944a03db89f013f11de7456708ff887160,go,unknown,0,go,"",false,,,,,,,,,"",,
253463555,253463556,23,2e03badfea8686d2454323d9b99893f8aa11ea2c,go,unknown,1,go,"",false,,,,,,,,,"",,
253463555,253463557,23,2e03badfea8686d2454323d9b99893f8aa11ea2c,go,unknown,0,go,"",false,,,,,,,,,"",,
253463555,253463558,23,2e03badfea8686d2454323d9b99893f8aa11ea2c,go,unknown,1,go,"",false,,,,,,,,,"",,
253463555,253463559,23,2e03badfea8686d2454323d9b99893f8aa11ea2c,go,unknown,1,go,"",false,,,,,,,,,"",,
253465225,253465226,24,76625d3599361b54f216bf53d1ed99a62399a4b4,go,broken,1,go,gotest,true,true,14,1,15,0,14,14,0,github.com/iris-contrib/examples/http-listening/listen-addr/omit-server-errors,2.2399999999999998,
253465225,253465227,24,76625d3599361b54f216bf53d1ed99a62399a4b4,go,broken,1,go,gotest,true,true,14,1,15,0,14,14,0,github.com/iris-contrib/examples/http-listening/listen-addr/omit-server-errors,2.9299999999999997,
253465225,253465228,24,76625d3599361b54f216bf53d1ed99a62399a4b4,go,unknown,1,go,gotest,true,true,14,1,15,0,14,14,0,github.com/iris-contrib/examples/http-listening/listen-addr/omit-server-errors,2.21,
253465225,253465229,24,76625d3599361b54f216bf53d1ed99a62399a4b4,go,unknown,2,go,gotest,true,true,14,1,15,0,14,14,0,github.com/iris-contrib/examples/http-listening/listen-addr/omit-server-errors,2.09,
253466751,253466752,25,5f68c1f6495309762176241e74ce59a8225682b1,go,ok,0,go,gotest,true,false,16,0,16,0,15,15,0,"",8.059999999999999,
253466751,253466753,25,5f68c1f6495309762176241e74ce59a8225682b1,go,ok,1,go,gotest,true,false,16,0,16,0,15,15,0,"",8.049999999999999,
253466751,253466754,25,5f68c1f6495309762176241e74ce59a8225682b1,go,unknown,1,go,gotest,true,false,16,0,16,0,15,15,0,"",8.079999999999998,
253466751,253466755,25,5f68c1f6495309762176241e74ce59a8225682b1,go,unknown,1,go,gotest,true,false,16,0,16,0,15,15,0,"",8.49,
256438834,256438835,26,851a0e3cd0481639c89ae9a387157a940dc11aca,go,broken,0,go,gotest,true,true,16,2,18,0,15,14,1,TestListenAddr#github.com/iris-contrib/examples/http-listening/listen-addr/omit-server-errors,14.059999999999999,
256438834,256438836,26,851a0e3cd0481639c89ae9a387157a940dc11aca,go,broken,2,go,gotest,true,true,16,2,18,0,15,14,1,TestListenAddr#github.com/iris-contrib/examples/http-listening/listen-addr/omit-server-errors,14.059999999999999,
